,code,source,sourceOther,channelCode,created,dfrom,dto,board,amount,currency,roomCode,roomCodeAssigned,qt,country,adults,teens,children,reservationStatus,reservationTags,marketCode,los,bWindow,occupancy,ADR
73,RN-0001,-1,Zak,"['DIR', 'COR']",2022-04-02,2022-04-01,2022-04-02,bb,130000.0,COP,STDD,STDD,1,CO,2,0,0,1,[],GRP,1,-1,2,130000.0
74,RN-0001,-1,Zak,"['DIR', 'COR']",2022-04-02,2022-04-02,2022-04-03,bb,130000.0,COP,TWIN,TWIN,1,CO,1,0,0,1,[],GRP,1,0,1,130000.0
75,VV-0004,2,Booking,['WEB'],2022-04-02,2022-04-04,2022-04-05,nb,110880.0,COP,STDT,STDT,1,IT,1,0,0,1,[],IND,1,2,1,110880.0
76,SN-0001,2,Booking,['WEB'],2022-04-02,2022-04-22,2022-04-24,nb,259560.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,2,20,2,129780.0
77,AM-0021,2,Booking,['WEB'],2022-04-02,2022-04-21,2022-04-22,nb,110880.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,1,19,2,110880.0
78,JV-0015,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-05,nb,288420.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],IND,2,0,1,144210.0
79,JA-0019,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-04,nb,105600.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,1,0,2,105600.0
80,DR-0008,2,Booking,['WEB'],2022-04-03,2022-04-25,2022-04-27,nb,221760.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,2,22,2,110880.0
81,NN-0005,2,Booking,['WEB'],2022-04-03,2022-04-17,2022-04-30,nb,1838762.0,COP,SUPD,SUPD,1,IN,1,0,0,4,[],IND,13,14,1,141443.23076923078
82,NM-0002,2,Booking,['WEB'],2022-04-03,2022-04-17,2022-04-29,nb,1680103.0,COP,SUPD,SUPD,1,IN,1,0,0,4,[],IND,12,14,1,140008.58333333334
83,GW-0001,2,Booking,['WEB'],2022-04-03,2022-04-21,2022-04-26,nb,856255.0,COP,SUPT,SUPT,1,US,2,0,0,4,[],IND,5,18,2,171251.0
84,IG-0002,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-04,nb,158400.0,COP,SUPT,SUPT,1,CO,3,0,0,1,[],IND,1,0,3,158400.0
85,AG-0020,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-04,nb,100320.0,COP,TWIN,TWIN,1,CO,1,0,0,1,[],IND,1,0,1,100320.0
86,JM-0021,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-04,nb,136620.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,1,0,2,136620.0
87,MG-0007,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-04,nb,144797.0,COP,STDD,STDD,1,UY,2,0,0,1,[],IND,1,0,2,144797.0
88,RG-0012,-1,Zak,['DIR'],2022-04-04,2022-04-04,2022-04-08,bb,520000.0,COP,SUPT,SUPT,1,CO,1,0,0,4,[],IND,4,0,1,130000.0
89,JB-0020,-1,Zak,"['DIR', 'COR']",2022-04-04,2022-04-03,2022-04-04,bb,120000.0,COP,STDD,STDD,1,CO,1,0,0,1,[],GRP,1,-1,1,120000.0
90,JB-0020,-1,Zak,"['DIR', 'COR']",2022-04-04,2022-04-04,2022-04-05,bb,120000.0,COP,SUPT,SUPT,1,CO,1,0,0,1,[],GRP,1,0,1,120000.0
91,PH-0006,2,Booking,['WEB'],2022-04-04,2022-04-06,2022-04-07,nb,105336.0,COP,STDD,STDD,1,CO,1,0,0,4,[],IND,1,2,1,105336.0
92,NA-0005,2,Booking,['WEB'],2022-04-04,2022-04-04,2022-04-05,bb,120000.0,COP,STDD,STDD,1,CO,2,0,0,1,[],IND,1,0,2,120000.0
93,LD-0006,2,Booking,['WEB'],2022-04-04,2022-04-04,2022-04-06,bb,240000.0,COP,STDD,STDD,1,AR,2,0,0,1,[],IND,2,0,2,120000.0
94,EA-0005,2,Booking,['WEB'],2022-04-05,2022-04-17,2022-04-19,nb,286902.0,COP,SUPT,SUPT,1,PE,2,0,0,1,[],IND,2,12,2,143451.0
95,EA-0006,2,Booking,['WEB'],2022-04-05,2022-04-20,2022-04-23,nb,453912.0,COP,SUPD,SUPD,1,PE,2,0,0,1,[],IND,3,15,2,151304.0
96,DQ-0001,2,Booking,['WEB'],2022-04-05,2022-04-13,2022-04-16,bb,643157.0,COP,SUPD,SUPD,1,CO,2,0,0,4,[],IND,3,8,2,214385.66666666666
97,FD-0003,2,Booking,['WEB'],2022-04-05,2022-04-05,2022-04-07,bb,239400.0,COP,STDT,STDT,1,CO,1,0,0,1,[],IND,2,0,1,119700.0
98,TG-0002,-1,Zak,"['DIR', 'COR']",2022-04-05,2022-04-05,2022-04-10,bb,675000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],IND,5,0,1,135000.0
99,JB-0021,2,Booking,['WEB'],2022-04-05,2022-04-05,2022-04-06,nb,105600.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],GRP,1,0,2,105600.0
100,JB-0021,2,Booking,['WEB'],2022-04-05,2022-04-06,2022-04-08,nb,240000.0,COP,SUPC,SUPC,1,CO,1,0,0,1,[],GRP,2,1,1,120000.0
101,JB-0021,2,Booking,['WEB'],2022-04-05,2022-04-08,2022-04-10,nb,240000.0,COP,STDD,STDD,1,CO,2,0,0,1,[],GRP,2,3,2,120000.0
102,DT-0004,2,Booking,"['WEB', 'COR']",2022-04-05,2022-04-15,2022-04-18,bb,570000.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,3,10,2,190000.0
103,KG-0002,-1,Zak,['DIR'],2022-04-05,2022-04-05,2022-04-06,bb,150000.0,COP,SUPC,SUPC,1,CO,2,0,0,1,[],GRP,1,0,2,150000.0
104,KG-0002,-1,Zak,['DIR'],2022-04-05,2022-04-11,2022-04-12,bb,150000.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],GRP,1,6,2,150000.0
105,CP-0012,-1,Zak,['DIR'],2022-04-06,2022-04-12,2022-04-15,bb,635229.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,3,6,2,211743.0
